Tn,ID,SVL,Mass,Reference,Type,Frame,Wrap,Axial,Linear GS,Linear CE,PredPitch,PredBuck
9,2018DP01,113.9,185.1,1498,NC,1401,No,No,54.7715469,40.35633912,65.30389738,0.115559423
10,2018DP01,113.9,185.1,1,NC,865,Simple,No,49.37870829,45.73205154,65.30389738,0.115559423
11,2018DP01,113.9,185.1,1,NC,365,No,No,51.76964066,41.4073941,65.30389738,0.115559423
12,2018DP01,113.9,185.1,1120,Success,1120,No,No,50.54431092,52.82725328,65.30389738,0.115559423
14,2018DP01,113.9,185.1,847,NC,1494,No,No,54.74774819,43.08601443,65.30389738,0.115559423
25,2018DP02,127.4433333,267.2,5,Success,5,Simple,No,46.6293223,48.15405123,73.06888815,0.115795649
26,2018DP02,127.4433333,267.2,5,Success,5,Simple,No,48.10928231,49.94365925,73.06888815,0.115795649
34,2018DP02,127.4433333,267.2,5545,Success,5565,No,No,43.56066168,46.07070646,73.06888815,0.115795649
35,2018DP02,127.4433333,267.2,36002,PB,36002,No,No,47.5577789,47.1128259,73.06888815,0.115795649
41,2018DP02,127.4433333,267.2,7368,Success,7390,Not visibly,No,46.06395026,47.67756655,73.06888815,0.115795649
42,2018DP02,127.4433333,267.2,4468,Drop,4468,No,No,54.575863,53.49666794,73.06888815,0.115795649
42,2018DP02,127.4433333,267.2,4468,NC,8712,Not visibly,No,54.575863,42.51355174,73.06888815,0.115795649
43,2018DP02,127.4433333,267.2,2768,NC,4477,No,No,54.43970098,39.34770879,73.06888815,0.115795649
44,2018DP02,127.4433333,267.2,3401,NC,3398,Not visibly,No,52.42217162,49.02580541,73.06888815,0.115795649
45,2018DP02,127.4433333,267.2,14328,NC,17110,Not visibly,No,54.77917015,40.65584722,73.06888815,0.115795649
51,2018DP03,88.97333333,84.8,3348,Success,4079,No,No,39.28840821,41.22701128,51.01233915,0.111413376
52,2018DP03,88.97333333,84.8,1900,NC,3772,No,No,42.47607259,37.27168344,51.01233915,0.111413376
56,2018DP03,88.97333333,84.8,6566,Drop,6566,No,No,46.30463064,33.89332322,51.01233915,0.111413376
56,2018DP03,88.97333333,84.8,6566,Drop,7092,No,No,46.30463064,35.35512311,51.01233915,0.111413376
56,2018DP03,88.97333333,84.8,4500,NC,,,,,,51.01233915,0.111413376
57,2018DP03,88.97333333,84.8,10980,NC,11565,Partial,No,44.39302918,33.76266389,51.01233915,0.111413376
58,2018DP03,88.97333333,84.8,6529,NC,6461,No,No,40.08631003,29.61617612,51.01233915,0.111413376
59,2018DP03,88.97333333,84.8,2500,NC,2926,No,No,40.41410337,33.75356967,51.01233915,0.111413376
60,2018DP03,88.97333333,84.8,2500,NC,3560,No,No,41.78127649,23.28014109,51.01233915,0.111413376
61,2018DP03,88.97333333,84.8,11466,Drop,11259,No,No,55.14428087,25.52906634,51.01233915,0.111413376
61,2018DP03,88.97333333,84.8,11466,Drop,11466,No,No,55.14428087,32.59174249,51.01233915,0.111413376
61,2018DP03,88.97333333,84.8,6500,NC,11495,No,No,55.14428087,32.65501949,51.01233915,0.111413376
62,2018DP03,88.97333333,84.8,5400,NC,7634,No,No,54.64501817,26.68811414,51.01233915,0.111413376
63,2018DP03,88.97333333,84.8,9608,NC,9272,No,No,58.9494094,22.4277657,51.01233915,0.111413376
66,2018DP03,88.97333333,84.8,6638,NC,7173,No,No,36.89961611,30.15235517,51.01233915,0.111413376
67,2018DP03,88.97333333,84.8,17258,NC,17159,No,Yes,40.55309167,15.69587045,51.01233915,0.111413376
69,2018DP03,88.97333333,84.8,8800,NC,,,,,,51.01233915,0.111413376
70,2018DP03,88.97333333,84.8,9000,NC,10047,No,No,61.74492266,25.34828684,51.01233915,0.111413376
71,2018DP03,88.97333333,84.8,5000,NC,14759,Simple,No,63.10882829,30.03450753,51.01233915,0.111413376
72,2018DP03,88.97333333,84.8,31650,NC,,,,,,51.01233915,0.111413376
80,2018DC04,77.373,47.7,1900,NC,1927,No,No,26.11659135,6.404941353,44.36135603,0.118855748
81,2018DC04,77.373,47.7,2500,NC,2714,Simple,No,27.80031961,5.73298417,44.36135603,0.118855748
84,2018DC04,77.373,47.7,3672,PB,3672,No,Yes,32.07722884,29.71771144,44.36135603,0.118855748
84,2018DC04,77.373,47.7,3672,PB,7263,No,No,32.07722884,25.53044176,44.36135603,0.118855748
84,2018DC04,77.373,47.7,3672,PB,12843,No,No,32.07722884,28.19387087,44.36135603,0.118855748
84,2018DC04,77.373,47.7,3672,PB,14539,No,No,32.07722884,24.05040509,44.36135603,0.118855748
86,2018DC04,77.373,47.7,4900,NC,5061,No,No,32.10935579,14.24324132,44.36135603,0.118855748
89,2018DC04,77.373,47.7,4700,NC,4923,No,No,31.51143617,30.54149893,44.36135603,0.118855748
90,2018DC04,77.373,47.7,5495,Success,5815,No,No,33.74284639,34.32636925,44.36135603,0.118855748
91,2018DC04,77.373,47.7,4250,NC,4559,No,No,35.80722411,11.61292075,44.36135603,0.118855748
92,2018DC04,77.373,47.7,4016,NC,4358,No,No,35.007755,32.88643696,44.36135603,0.118855748
93,2018DC04,77.373,47.7,1000,NC,18827,No,Yes,35.53833571,29.83261833,44.36135603,0.118855748
94,2018DC04,77.373,47.7,7830,NC,10472,No,No,35.79310694,34.41707163,44.36135603,0.118855748
95,2018DC04,77.373,47.7,19400,NC,19840,Peg,No,37.63691356,35.69928362,44.36135603,0.118855748
96,2018DC04,77.373,47.7,16200,NC,17553,No,Yes,39.64354584,22.53446449,44.36135603,0.118855748
97,2018DC04,77.373,47.7,3199,NC,5041,No,Yes,39.50576243,34.57613282,44.36135603,0.118855748
98,2018DC04,77.373,47.7,14284,PB,9516,Peg,Yes,44.42186309,34.45880884,44.36135603,0.118855748
98,2018DC04,77.373,47.7,14284,PB,13723,No,No,44.42186309,29.9951592,44.36135603,0.118855748
99,2018DC04,77.373,47.7,9146,PB,9146,No,Yes,44.45649538,31.94611055,44.36135603,0.118855748
99,2018DC04,77.373,47.7,9146,PB,12997,No,No,44.45649538,30.82633688,44.36135603,0.118855748
101,2018DC04,77.373,47.7,36563,NC,37098,No,Yes,37.84436658,14.3216325,44.36135603,0.118855748
102,2018DC04,77.373,47.7,25000,NC,,,,,,44.36135603,0.118855748
102,2018DC04,77.373,47.7,19194,PB/Drop,19194,No,Yes,38.2397463,28.44770154,44.36135603,0.118855748
103,2018DC04,77.373,47.7,8000,NC,9308,No,No,41.46145106,16.58119777,44.36135603,0.118855748
115,2018DC04,77.373,47.7,4403,Success,5389,No,Yes,34.2566065,34.76809133,44.36135603,0.118855748
116,2018DC04,77.373,47.7,2728,NC,3087,No,No,35.15089853,19.75319684,44.36135603,0.118855748
117,2018DC04,77.373,47.7,3793,PB,6330,No,No,36.00851286,28.75768903,44.36135603,0.118855748
117,2018DC04,77.373,47.7,3793,PB/Drop,3793,No,Yes,36.00851286,33.88712177,44.36135603,0.118855748
118,2018DC05,84.25833333,85.5,2050,NC,2074,Simple,No,22.23575715,8.103419545,48.30902154,0.09697893
125,2018DC05,84.25833333,85.5,3479,Success,3159,No,No,39.44935214,41.40723333,48.30902154,0.09697893
126,2018DC05,84.25833333,85.5,3008,Success,3477,No,No,41.30661722,42.36070658,48.30902154,0.09697893
127,2018DC05,84.25833333,85.5,2649,NC,3015,No,No,43.28693469,34.27240973,48.30902154,0.09697893
128,2018DC05,84.25833333,85.5,3549,NC,3498,No,No,45.49485907,33.61240717,48.30902154,0.09697893
129,2018DC05,84.25833333,85.5,2000,NC,2775,No,No,48.49233772,33.4802626,48.30902154,0.09697893
130,2018DC05,84.25833333,85.5,2800,NC,6610,No,No,50.28828432,37.36120445,48.30902154,0.09697893
131,2018DC05,84.25833333,85.5,3000,NC,6221,No,No,52.36998902,31.3221599,48.30902154,0.09697893
132,2018DC05,84.25833333,85.5,4000,NC,12911,No,No,54.3721786,32.33214058,48.30902154,0.09697893
133,2018DC05,84.25833333,85.5,13660,NC,14813,No,Yes,56.21334747,24.06789551,48.30902154,0.09697893
134,2018DC05,84.25833333,85.5,2680,NC,6522,No,Yes,58.22641428,18.87240614,48.30902154,0.09697893
139,2018DC05,84.25833333,85.5,12278,PB,8571,No,No,68.092352,43.38214754,48.30902154,0.09697893
139,2018DC05,84.25833333,85.5,12278,Pitch,12278,No,No,68.092352,48.47756071,48.30902154,0.09697893
140,2018DC05,84.25833333,85.5,1200,NC,5576,No,Yes,41.26375775,35.64819414,48.30902154,0.09697893
141,2018DC05,84.25833333,85.5,2400,NC,3807,No,No,42.23596831,35.71405365,48.30902154,0.09697893
142,2018DC05,84.25833333,85.5,3800,NC,5369,No,No,43.07487011,33.21972123,48.30902154,0.09697893
160,2018DP06,124.3746667,261.3,19130,NC,19239,No,No,44.04293675,33.87288962,71.30948614,0.110664122
161,2018DP06,124.3746667,261.3,7148,Success,7001,No,No,43.84927502,45.1062805,71.30948614,0.110664122
162,2018DP06,124.3746667,261.3,1102,Success,4644,No,No,45.62640378,46.4721336,71.30948614,0.110664122
163,2018DP06,124.3746667,261.3,180,NC,918,Not visibly,No,47.98043983,26.16902898,71.30948614,0.110664122
164,2018DP06,124.3746667,261.3,3560,NC,6083,Not visibly,No,50.01632109,31.43653778,71.30948614,0.110664122
166,2018DP06,124.3746667,261.3,4859,NC,5664,Not visibly,No,51.40618553,37.39997129,71.30948614,0.110664122
167,2018DP06,124.3746667,261.3,600,NC,976,No,No,54.42360758,39.39664291,71.30948614,0.110664122
168,2018DP06,124.3746667,261.3,3700,NC,3943,No,No,55.5525021,33.76450106,71.30948614,0.110664122
169,2018DP06,124.3746667,261.3,500,NC,3407,Not visibly,No,58.3287646,29.1155647,71.30948614,0.110664122
170,2018DP06,124.3746667,261.3,5200,NC,6255,No,No,59.14015819,37.60007581,71.30948614,0.110664122
171,2018DP06,124.3746667,261.3,200,NC,1402,Simple,No,60.18754489,42.2427012,71.30948614,0.110664122
172,2018DP06,124.3746667,261.3,12000,NC,12514,Partial,Yes,62.00931551,36.54804289,71.30948614,0.110664122
173,2018DP06,124.3746667,261.3,9236,NC,9846,No,No,64.59422755,39.75941482,71.30948614,0.110664122
187,2019DC07,46.19933333,14.5,2677,Success,2677,No,Yes,21.53651316,23.78664349,26.48811697,0.078882925
188,2019DC07,46.19933333,14.5,2147,Success,3745,No,No,23.4876887,24.19521871,26.48811697,0.078882925
189,2019DC07,46.19933333,14.5,1600,NC,5207,No,Yes,25.91137584,23.30978445,26.48811697,0.078882925
190,2019DC07,46.19933333,14.5,2000,NC,2760,No,No,27.56938516,25.05464819,26.48811697,0.078882925
191,2019DC07,46.19933333,14.5,1700,NC,1733,No,No,28.7970351,18.07079503,26.48811697,0.078882925
192,2019DC07,46.19933333,14.5,5150,NC,5849,No,No,28.94343551,23.56444921,26.48811697,0.078882925
193,2019DC07,46.19933333,14.5,20000,NC,22535,No,Yes,31.06343009,19.42672371,26.48811697,0.078882925
193,2019DC07,46.19933333,14.5,17763,PB,17826,Peg,No,31.06343009,24.83732686,26.48811697,0.078882925
193,2019DC07,46.19933333,14.5,17763,PB,17763,No,No,31.06343009,23.30175405,26.48811697,0.078882925
195,2019DC07,46.19933333,14.5,9319,PB,5670,No,No,33.86685293,20.61012268,26.48811697,0.078882925
195,2019DC07,46.19933333,14.5,9319,PB,7298,No,No,33.86685293,21.23673615,26.48811697,0.078882925
195,2019DC07,46.19933333,14.5,9319,PB,8120,No,No,33.86685293,22.55188435,26.48811697,0.078882925
195,2019DC07,46.19933333,14.5,9319,PB/Drop,9319,No,No,33.86685293,22.51361777,26.48811697,0.078882925
196,2019DC07,46.19933333,14.5,5832,PB,4975,No,No,33.83065609,18.60658124,26.48811697,0.078882925
196,2019DC07,46.19933333,14.5,5832,PB,5500,No,No,33.83065609,18.86178839,26.48811697,0.078882925
196,2019DC07,46.19933333,14.5,5832,PB,5859,No,No,33.83065609,22.88437471,26.48811697,0.078882925
196,2019DC07,46.19933333,14.5,5832,PB,6667,No,No,33.83065609,22.281019,26.48811697,0.078882925
196,2019DC07,46.19933333,14.5,5832,Pitch,5832,No,No,33.83065609,23.11354748,26.48811697,0.078882925
203,2019DC07,46.19933333,14.5,1575,Success,1834,Not visibly,No,22.69460209,23.58157479,26.48811697,0.078882925
204,2019DC07,46.19933333,14.5,9000,NC,9870,Not visibly,Yes,25.30221985,23.26834321,26.48811697,0.078882925
205,2019DC07,46.19933333,14.5,1513,NC,3349,Partial,No,25.94239419,24.11220605,26.48811697,0.078882925
206,2019DC07,46.19933333,14.5,17531,NC,17879,No,No,26.92926605,23.2670817,26.48811697,0.078882925
206,2019DC07,46.19933333,14.5,17865,PB,11477,Simple,Yes,26.88806233,21.23614702,26.48811697,0.078882925
206,2019DC07,46.19933333,14.5,17865,PB,16182,No,No,26.88806233,20.5516796,26.48811697,0.078882925
206,2019DC07,46.19933333,14.5,17865,PB/Drop?,12145,No,Yes,26.88806233,17.29621551,26.48811697,0.078882925
