arc length (SVL),density (rho/rho_bar),section
0,0.759509183,head
0.01,1.352543053,head
0.02,1.262495089,head
0.03,0.838093068,head
0.04,0.637159012,head
0.05,0.609288724,head
0.06,0.627936634,body
0.07,0.630673777,body
0.08,0.632069336,body
0.09,0.689463741,body
0.1,0.699516159,body
0.11,0.671860645,body
0.12,0.681351228,body
0.13,0.707859118,body
0.14,0.675872473,body
0.15,0.712251446,body
0.16,0.764824356,body
0.17,0.801299298,body
0.18,0.841381208,body
0.19,0.860294982,body
0.2,0.872586841,body
0.21,0.876717447,body
0.22,0.892368456,body
0.23,0.877052483,body
0.24,0.879751546,body
0.25,0.909239006,body
0.26,0.986532908,body
0.27,1.138465123,body
0.28,1.100599249,body
0.29,1.032440588,body
0.3,0.990665815,body
0.31,0.990368179,body
0.32,1.025882341,body
0.33,1.020711811,body
0.34,1.024232339,body
0.35,1.039098372,body
0.36,1.046253302,body
0.37,1.017242204,body
0.38,1.028604325,body
0.39,1.053625501,body
0.4,1.058612884,body
0.41,1.061067672,body
0.42,1.095409238,body
0.43,1.154510269,body
0.44,1.131272825,body
0.45,1.126153143,body
0.46,1.173716704,body
0.47,1.163090752,body
0.48,1.125970152,body
0.49,1.050917706,body
0.5,1.077819146,body
0.51,1.085017857,body
0.52,1.057100593,body
0.53,1.057147591,body
0.54,1.057486526,body
0.55,1.055383479,body
0.56,1.118260397,body
0.57,1.185971717,body
0.58,1.203456407,body
0.59,1.263730059,body
0.6,1.275400816,body
0.61,1.223025352,body
0.62,1.166748055,body
0.63,1.119494282,body
0.64,1.070056576,body
0.65,1.034819337,body
0.66,1.007716068,body
0.67,1.004274903,body
0.68,1.028790914,body
0.69,1.053480745,body
0.7,1.051615205,body
0.71,1.014424424,body
0.72,1.02215433,body
0.73,0.973682876,body
0.74,0.90161696,body
0.75,0.901315279,body
0.76,0.865285684,body
0.77,0.813429372,body
0.78,0.839726871,body
0.79,0.909968232,body
0.8,0.932391,body
0.81,0.922750989,body
0.82,0.900030567,body
0.83,0.912373703,body
0.84,0.915242382,body
0.85,0.888866127,body
0.86,0.864942083,body
0.87,0.841111748,body
0.88,0.815414853,body
0.89,0.80269723,body
0.9,0.801496428,body
0.91,0.805212067,body
0.92,0.819850355,body
0.93,0.809378264,body
0.94,0.776383013,body
0.95,0.725546131,body
0.96,0.754245727,body
0.97,0.759267607,body
0.98,0.694017679,body
0.99,0.596238701,body
1,0.445847767,body
1.01,0.384334214,tail
1.02,0.321181266,tail
1.03,0.282639322,tail
1.04,0.269584356,tail
1.05,0.269614152,tail
1.06,0.259459839,tail
1.07,0.249612269,tail
1.08,0.238332983,tail
1.09,0.221542047,tail
1.1,0.213228491,tail
1.11,0.208977272,tail
1.12,0.200548773,tail
1.13,0.192989943,tail
1.14,0.181432966,tail
1.15,0.164017797,tail
1.16,0.150312248,tail
1.17,0.141053561,tail
1.18,0.130465326,tail
1.19,0.122298009,tail
1.2,0.11412715,tail
1.21,0.106834318,tail
1.22,0.09822599,tail
1.23,0.090494264,tail
1.24,0.08095302,tail
1.25,0.071829204,tail
1.26,0.064883731,tail
1.27,0.057662132,tail
1.28,0.05113533,tail
1.29,0.044959127,tail
1.3,0.03832818,tail
1.31,0.031134735,tail
1.32,0.027067898,tail
1.33,0.023807185,tail
1.34,0.019970719,tail
1.35,0.01706066,tail
