Snake ID,SVL (cm),Trial,Type,Wrap,Axial,Gap size (cm),Extent (cm),Itype,PredPitch
2018DC04,77.373,115,Cantilever,No,Yes,34.2566065,34.76809133,NA,44.36135603
2018DC05,84.25833333,126,Cantilever,No,No,41.30661722,42.36070658,NA,48.30902154
2018DP01,113.9,12,Cantilever,No,No,50.54431092,52.82725328,NA,65.30389738
2018DP02,127.4433333,26,Cantilever,Simple,No,48.10928231,49.94365925,NA,73.06888815
2018DP03,88.97333333,51,Cantilever,No,No,39.28840821,41.22701128,NA,51.01233915
2018DP06,124.3746667,162,Cantilever,No,No,45.62640378,46.4721336,NA,71.30948614
2019DC07,46.19933333,188,Cantilever,No,No,23.4876887,24.19521871,NA,26.48811697
2019DP08,119.094,215,Cantilever,Not visibly,Yes,48.49585801,50.03813203,NA,68.28184684
2019DP09,109,241,Cantilever,Peg,No,43.90167832,45.2973303,NA,62.4945111
2019DP10,65,248,Cantilever,No,No,31.0240743,31.85381118,NA,37.26736901
2019DP11,59,263,Cantilever,Not visibly,No,31.72726172,32.41372258,NA,33.82730418
2019DP12,43,265,Cantilever,No,No,16.52506448,16.8914417,NA,24.65379796
2019DP13,55,271,Cantilever,No,No,22.08362918,22.83533884,NA,31.53392762
2019DP14,102,277,Cantilever,Not visibly,No,31.81285971,33.12217575,NA,58.48110213
2019DP15,86.992,281,Cantilever,No,No,29.6239441,30.63889452,NA,49.8763533
2019DP16,76.98133333,302,Cantilever,Not visibly,No,38.65798105,39.9537659,NA,44.13679624
2019DP17,81.23117629,315,Cantilever,No,No,37.37299818,38.47490223,NA,46.57341879
2019DP18,29.534,336,Cantilever,Peg,No,16.06140775,16.59304543,NA,16.93314579
2019DP19,30.64466667,345,Cantilever,No,No,17.21185588,17.69270759,NA,17.56994001
2019DP20,89.49533333,373,Cantilever,Not visibly,No,38.96342947,40.90331468,NA,51.31162479
2018DC04,77.373,98,Incomplete,Peg,Yes,,34.45880884,PB,
2018DC05,84.25833333,139,Incomplete,No,No,,48.47756071,Pitch,
2018DP01,113.9,,Incomplete,,,,,,
2018DP02,127.4433333,42,Incomplete,No,No,,53.49666794,Drop,
2018DP03,88.97333333,56,Incomplete,No,No,,35.35512311,Drop,
2018DP06,124.3746667,,Incomplete,,,,,,
2019DC07,46.19933333,193,Incomplete,Peg,No,,24.83732686,PB,
2019DP08,119.094,,Incomplete,,,,,,
2019DP09,109,,Incomplete,,,,,,
2019DP10,65,252,Incomplete,Peg,No,,24.34619741,PB,
2019DP11,59,262,Incomplete,No,No,,29.11529895,PB,
2019DP12,43,,Incomplete,,,,,,
2019DP13,55,,Incomplete,,,,,,
2019DP14,102,,Incomplete,,,,,,
2019DP15,86.992,286,Incomplete,Not visibly,No,,31.6362116,Drop,
2019DP16,76.98133333,,Incomplete,,,,,,
2019DP17,81.23117629,,Incomplete,,,,,,
2019DP18,29.534,340,Incomplete,Partial + Peg,No,,18.40637685,Drop,
2019DP19,30.64466667,348,Incomplete,No,No,,15.21566396,Pitch,
2019DP20,89.49533333,,Incomplete,,,,,,
2018DC04,77.373,95,NC,Peg,No,,35.69928362,NA,
2018DC05,84.25833333,130,NC,No,No,,37.36120445,NA,
2018DP01,113.9,10,NC,Simple,No,,45.73205154,NA,
2018DP02,127.4433333,44,NC,Not visibly,No,,49.02580541,NA,
2018DP03,88.97333333,52,NC,No,No,,37.27168344,NA,
2018DP06,124.3746667,171,NC,Simple,No,,42.2427012,NA,
2019DC07,46.19933333,190,NC,No,No,,25.05464819,NA,
2019DP08,119.094,218,NC,No,No,,44.58916538,NA,
2019DP09,109,236,NC,No,No,,35.80521807,NA,
2019DP10,65,249,NC,No,No,,29.11791224,NA,
2019DP11,59,,NC,,,,,NA,
2019DP12,43,269,NC,No,No,,23.26313815,NA,
2019DP13,55,273,NC,No,No,,27.90002606,NA,
2019DP14,102,,NC,,,,,NA,
2019DP15,86.992,,NC,,,,,NA,
2019DP16,76.98133333,308,NC,No,No,,34.93516004,NA,
2019DP17,81.23117629,321,NC,Simple,No,,41.22726964,NA,
2019DP18,29.534,340,NC,Peg,No,,17.95175168,NA,
2019DP19,30.64466667,350,NC,Simple,Yes,,19.09271225,NA,
2019DP20,89.49533333,376,NC,Not visibly,No,,33.66351009,NA,
