tn,sn,svl,mass,gapguess,start,transition,acceleration,airborne,end,behavior,bcode,loop,loop time,twist,twist time,multibout,bnotes,notes
38,94,85,108.5,35,475,,,,7001,Cantilever,0,,,,,,,no branch markers
40,94,85,108.5,35,2566,,,,2737,Cantilever,0,,,,,,,
41,94,85,108.5,40,4798,,,,7818,Cantilever,0,,,,,,,
42,94,85,108.5,40,3979,,,,9666,Cantilever,0,,,,,,,
43,94,85,108.5,40,7366,,,,9816,Cantilever,0,,,,,,,
44,94,85,108.5,45,2462,2679,2709,,2715,Arched cantilever,1,No,N/A,,,No,,
45,94,85,108.5,45,633,,,,5949,Cantilever,0,,,,,,,
46,94,85,108.5,45,968,,,,1195,Cantilever,0,,,,,,,
47,94,85,108.5,50,24765,28289,28444,,28526,Up-then-out,1,Yes,all,,,No,,
48,94,85,108.5,50,19209,21768,21957,,22056,Up-then-out,1,Yes,all,,,No,,
49,94,85,108.5,50,2502,2847,2862,,2901,Mini arch,1,No,N/A,,,No,,
53,89,73.5,65.1,35,790,,,,1042,Cantilever,0,,,,,,,
54,89,73.5,65.1,35,796,,,,1007,Cantilever,0,,,,,,,
55,89,73.5,65.1,35,500,,,,675,Cantilever,0,,,,,,,
56,89,73.5,65.1,40,716,,,,5773,Cantilever,0,,,,,,,
57,89,73.5,65.1,40,332,,,,557,Cantilever,0,,,,,,,
58,89,73.5,65.1,40,2095,,,,2600,Cantilever,0,,,,,,,
59,89,73.5,65.1,45,570,,,,834,Cantilever,0,,,,,,,
60,89,73.5,65.1,45,628,,,,889,Cantilever,0,,,,,,,
61,89,73.5,65.1,45,705,740,,,816,Arched cantilever,1,No,N/A,,,No,,
62,89,73.5,65.1,50,816,,,,979,Cantilever,0,,,,,,,
63,89,73.5,65.1,50,4692,,,,10435,Cantilever,0,,,,,,,
64,89,73.5,65.1,50,5577,,,,6274,Cantilever,0,,,,,,,
66,89,71.5,68.7,55,1784,,,,2042,Cantilever,0,,,,,,,
67,89,71.5,68.7,55,1554,1771,1870,,1936,Recovery,2,Yes,"Before, during",,,Yes,Two cantilever/semi-cantilever approaches before loop,
68,89,71.5,68.7,55,8363,10068,10401,,10468,Recovery,2,Yes,"Before, during",,,Yes,"Cantilever failure, then lunge failure, then success",
69,89,71.5,68.7,60,3813,4140,4292,,4348,Arch/loop,1,Small,"Before, during",,,No,,
70,89,71.5,68.7,60,19446,19672,20080,,20135,Recovery,1,Yes,"Before, during",,,Yes,Failed lunge then success,
71,89,71.5,68.7,60,1193,1444,1688,,1749,Recovery,1,Yes,"Before, during",,,Yes,Failed lunge then success,
72,89,71.5,68.7,65,27618,28029,28285,,28362,Recovery,1,Yes,"Before, during",,,Yes,Failed lunge then success,
73,89,71.5,68.7,65,1350,1780,2115,,2167,Recovery,1,Yes,"Before, during",,,Yes,"Lunge that lands but falls off, then bigger lunge.",
74,89,71.5,68.7,65,14893,15283,15562,,15625,Recovery,1,Yes,"Before, during",,,Yes,"Lunge that lands but falls off, then bigger lunge.",
75,89,71.5,68.7,70,4172,4487,4603,,4675,Up-then-out,1,No,N/A,,,No,,
76,89,71.5,68.7,70,396,777,993,,1064,Up-then-out,1,Yes,during,,,No,,
77,89,71.5,68.7,70,27015,27015,27251,27326,27329,U/J Loop,1,Yes,"Before, during",,,No,,
78,89,71.5,68.7,75,13719,16002,16344,16425,16429,Up-then-out,1,Yes,"before, during",,,No,,
79,89,71.5,68.7,75,19735,20171,20229,,20326,Up-then-out,1,No,N/A,,,No,,
80,89,71.5,68.7,75,16311,16767,16872,,16964,Up-then-out,1,Borderline,during,,,No,,
81,89,71.5,68.7,80,2632,3544,3777,3864,3868,Arch/U border,1,Yes,all,,,No,,
