Snake ID,Dataset,Location,Location ID,SVL (cm),Mass (g),Species,Status
2018DP01,Current,Northern Queensland,1,113.988,185.1,D. punctulatus,Wild-caught
2018DP02,Current,Northern Queensland,1,127.4433333,267.2,D. punctulatus,Wild-caught
2018DP03,Current,Northern Queensland,1,88.97333333,84.8,D. punctulatus,Wild-caught
2018DC04,Current,Northern Queensland,1,77.373,47.7,D. calligastra,Wild-caught
2018DC05,Current,Northern Queensland,1,84.25833333,85.5,D. calligastra,Wild-caught
2018DP06,Current,Northern Queensland,1,124.3746667,261.3,D. punctulatus,Wild-caught
2019DC07,Current,Northern Queensland,1,46.19933333,14.5,D. calligastra,Wild-caught
2019DP08,Current,Northern Queensland,1,119.094,301.1,D. punctulatus,Wild-caught
2019DP09,Current,Cairns Aquarium,2,109,161.7,D. punctulatus,Wild-caught
2019DP10,Current,Cairns Aquarium,2,65,37.1,D. punctulatus,Captive-bred
2019DP11,Current,Cairns Aquarium,2,59,27.8,D. punctulatus,Captive-bred
2019DP12,Current,Cairns Aquarium,2,43,12.5,D. punctulatus,Captive-bred
2019DP13,Current,Cairns Aquarium,2,55,23.9,D. punctulatus,Captive-bred
2019DP14,Current,Cairns Aquarium,2,102,,D. punctulatus,Wild-caught
2019DP15,Current,Sunshine Coast,3,86.992,72.3,D. punctulatus,Wild-caught
2019DP16,Current,Sunshine Coast,3,76.98133333,83.4,D. punctulatus,Wild-caught
2019DP17,Current,Sunshine Coast,3,81.23117629,76.5,D. punctulatus,Wild-caught
2019DP18,Current,Sunshine Coast,3,29.534,5.1,D. punctulatus,Wild-caught
2019DP19,Current,Sunshine Coast,3,30.64466667,5.3,D. punctulatus,Wild-caught
2019DP20,Current,Sunshine Coast,3,89.49533333,133.4,D. punctulatus,Wild-caught
1130,"Fearn &Trembath, 2011","Nelly Bay, Magnetic Island",4,99.3,96,D. punctulatus,Wild-caught
1134,"Fearn &Trembath, 2011","Pallarenda, Townsville",4,106.2,90,D. punctulatus,Wild-caught
1135,"Fearn &Trembath, 2011","Pallarenda, Townsville",4,88.5,85,D. punctulatus,Wild-caught
1146,"Fearn &Trembath, 2011","Douglas, Townsville",4,101,140,D. punctulatus,Wild-caught
1158,"Fearn &Trembath, 2011","Pallarenda, Townsville",4,86.5,100,D. punctulatus,Wild-caught
2280,"Fearn &Trembath, 2011",Townsville,4,136,900,D. punctulatus,Wild-caught
1159,"Fearn &Trembath, 2011",Townsville,4,94.3,140,D. punctulatus,Wild-caught
1164,"Fearn &Trembath, 2011","James Cook University, Townsville",4,96,98,D. punctulatus,Wild-caught
1162,"Fearn &Trembath, 2011",Townsville,4,84.8,86,D. punctulatus,Wild-caught
1163,"Fearn &Trembath, 2011",Townsville,4,95.5,88,D. punctulatus,Wild-caught
1177,"Fearn &Trembath, 2011",Townsville,4,97.5,150,D. punctulatus,Wild-caught
1180,"Fearn &Trembath, 2011",Townsville,4,96.8,110,D. punctulatus,Wild-caught
1184,"Fearn &Trembath, 2011","James Cook University, Townsville",4,106.1,180,D. punctulatus,Wild-caught
1187,"Fearn &Trembath, 2011","James Cook University, Townsville",4,106.3,190,D. punctulatus,Wild-caught
1192,"Fearn &Trembath, 2011","James Cook University, Townsville",4,86.3,115,D. punctulatus,Wild-caught
1193,"Fearn &Trembath, 2011",Townsville,4,55.3,26,D. punctulatus,Wild-caught
